Day,Hour,Temperature ,Relative Humidity ,Wind Speed ,Wind Direction 
2,0,28.94,77,9.69,221.99
2,1,28.79,79,13.04,219.4
2,2,28.59,79,7.99,215.84
2,3,28.47,79,5.48,203.2
2,4,28.4,78,5.24,195.95
2,5,28.45,78,3.88,201.8
2,6,28.5,78,2.62,254.05
2,7,28.69,78,3.22,296.57
2,8,29.18,76,2.97,284.04
2,9,30.49,72,8.76,260.54
2,10,31.15,70,11.17,268.15
2,11,32.27,66,14.4,271.43
2,12,32.84,63,17.67,273.5
2,13,32.99,62,20.67,277
2,14,32.8,63,21.84,278.53
2,15,32.51,64,20.88,270
2,16,32.15,65,19.88,264.81
2,17,32.05,68,20.57,237.14
2,18,31.36,70,18.06,246.5
2,19,30.59,72,15.03,253.3
2,20,30.22,74,12.37,261.63
2,21,29.96,76,10.08,270
2,22,29.74,78,9,270
2,23,29.59,80,7.95,275.19
3,0,29.24,79,14.99,245.9
3,1,29.03,75,11.87,255.96
3,2,28.97,76,11.72,259.38
3,3,28.9,76,11.28,253.3
3,4,28.83,76,10.03,248.96
3,5,28.85,77,7.07,255.26
3,6,28.94,78,6.83,251.57
3,7,29.59,75,8.7,245.56
3,8,29.47,77,11.93,275.19
3,9,29.38,76,14.35,287.53
3,10,29.22,76,14.99,294.1
3,11,29.46,75,14.33,295.28
3,12,30.24,72,13.85,297.9
3,13,30.93,69,13.85,294.57
3,14,30.74,69,13.1,290.92
3,15,30.74,68,12.22,283.63
3,16,30.94,66,11.09,283.13
3,17,31.21,67,17.11,261.53
3,18,30.68,69,14.51,262.87
3,19,30.05,73,13.63,257.8
3,20,29.7,78,15.38,249.44
3,21,29.52,75,11.63,248.2
3,22,29.38,76,9.03,246.5
3,23,29.31,78,14.37,247.93
4,0,29.12,75,8.83,258.23
4,1,28.96,77,8.31,265.03
4,2,28.88,79,9.45,252.26
4,3,28.79,79,7.86,254.05
4,4,28.71,79,7.28,261.47
4,5,28.64,81,7.34,258.69
4,6,28.86,81,13.36,274.64
4,7,28.87,75,11.3,260.84
4,8,29.42,72,10.08,270
4,9,30.27,69,10.08,270
4,10,31.08,67,10.81,271.91
4,11,31.91,65,12.62,273.27
4,12,32.53,64,14.76,270
4,13,32.92,64,16.26,275.08
4,14,33.06,64,16.81,279.87
4,15,32.83,65,18.35,285.95
4,16,31.38,72,26.88,277.7
4,17,31.74,66,18.09,264.29
4,18,30.95,68,17.37,264.05
4,19,30.25,71,15.63,262.06
4,20,29.96,73,13.91,259.56
4,21,29.7,76,13.32,251.08
4,22,29.35,76,21.96,259.61
4,23,29.16,74,11.9,273.47
5,0,29.07,75,6.57,279.46
5,1,28.98,76,6.64,282.53
5,2,28.91,78,7.92,270
5,3,28.86,81,7.99,262.23
5,4,28.81,82,15.19,275.44
5,5,28.67,79,13.71,293.2
5,6,28.59,81,11.18,303.18
5,7,29.17,79,11.3,307.23
5,8,30.29,74,11.81,307.57
5,9,31.19,69,12.18,304.16
5,10,31.51,67,13.04,297.98
5,11,30.98,69,21.13,293.07
5,12,30.78,72,19.49,295.14
5,13,31.89,67,20.68,301.48
5,14,32.65,62,20.29,297.47
5,15,32.57,61,19.04,285.35
5,16,32.28,63,17.37,275.95
5,17,31.85,65,17.06,277.28
5,18,31.1,68,16.56,271.25
5,19,30.26,72,13.36,265.36
5,20,29.95,74,10.48,254.05
5,21,29.77,76,9.59,235.71
5,22,29.62,78,9.69,228.01
5,23,29.44,80,10.23,230.71
6,0,29.28,80,11.25,230.19
6,1,29.32,80,12.6,233.13
6,2,29.17,82,15.91,232.35
6,3,28.95,81,23.84,244.98
6,4,28.73,79,15.32,240.42
6,5,28.65,80,11.63,248.2
6,6,28.76,82,10.03,248.96
6,7,29.7,77,11.5,249.86
6,8,30.65,72,11.28,253.3
6,9,31.51,68,12.73,261.87
6,10,32.28,66,14.78,267.21
6,11,32.88,63,17.28,268.81
6,12,32.81,62,24.16,273.42
6,13,32.76,61,21.6,270.95
6,14,33,60,20.16,268.98
6,15,32.95,60,19.35,260.36
6,16,32.61,61,19.13,250.2
6,17,31.69,68,20.52,254.74
6,18,31.01,71,18.86,246.37
6,19,30.23,75,18.09,238.84
6,20,29.83,73,21.12,240.38
6,21,29.54,74,17.25,246.64
6,22,29.38,76,12.48,236.77
6,23,29.19,79,13.61,232.52
7,0,29.07,80,15.78,235.22
7,1,29.08,81,18.51,243.43
7,2,28.94,79,15.63,255.32
7,3,28.83,80,11.28,253.3
7,4,28.85,81,11.63,248.2
7,5,28.83,80,15.94,263.52
7,6,28.63,79,14.04,270
7,7,29.58,75,14.44,274.29
7,8,30.23,71,15.11,282.38
7,9,31.1,68,13.71,283.67
